task,team_id,Person-ID (mellon-ID),event_start_time,event_end_time,event_result,Primary code ,Primary Sub-code,Secondary Code,Secondary  Sub-code,Apartment Feature 1,Apartment Feature 2,Apartment Feature 3,Apartment Feature 4 ,Candidate Feature 1,Candidate Feature 2,Candidate Feature 3,Candidate Feature 4,Party Venue Feature 1,Party Venue Feature 2,Party Venue Feature 3,Party Venue Feature 4,Professor Feature 1,Professor Feature 2,Professor Feature 3,Professor Feature 4
apartment,179706_162850_162936_182908,162850,2019-09-28 17:14:21+00:00,2019-09-28 17:14:21+00:00,Hi,SMC,SMC-R,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,182908,2019-09-28 17:14:39+00:00,2019-09-28 17:14:39+00:00,hey,SMC,SMC-R,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162936,2019-09-28 17:14:47+00:00,2019-09-28 17:14:47+00:00,Hey,SMC,SMC-R,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,179706,2019-09-28 17:14:48+00:00,2019-09-28 17:14:48+00:00,hola,SMC,SMC-R,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162850,2019-09-28 17:14:56+00:00,2019-09-28 17:14:56+00:00,Is everyone here?,CM,CM-G,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,179706,2019-09-28 17:15:09+00:00,2019-09-28 17:15:09+00:00,I think so?,SSI,SSI-U,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,182908,2019-09-28 17:15:13+00:00,2019-09-28 17:15:13+00:00,^^,SMC,SMC-R,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162936,2019-09-28 17:15:24+00:00,2019-09-28 17:15:24+00:00,"So like, we just click next",SESU,SESU-P,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162850,2019-09-28 17:15:44+00:00,2019-09-28 17:15:44+00:00,Lets wait to see what the instructor says,CE,CEC-S,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,182908,2019-09-28 17:15:46+00:00,2019-09-28 17:15:46+00:00,yeah i think so ,SSI,SSI-U,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162936,2019-09-28 17:16:01+00:00,2019-09-28 17:16:01+00:00,"oof, already clicked next ",CE,CEC-R,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162850,2019-09-28 17:21:04+00:00,2019-09-28 17:21:04+00:00,Hey,SMC,SMC-R,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162936,2019-09-28 17:21:11+00:00,2019-09-28 17:21:11+00:00,hey guys,SMC,SMC-R,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,182908,2019-09-28 17:21:21+00:00,2019-09-28 17:21:21+00:00,"hi, so what were your rankings?",SESU,SESU-P,,,,,,,,,,,,,,,,,,
apartment,179706_162850_162936_182908,162936,2019-09-28 17:21:22+00:00,2019-09-28 17:21:22+00:00,So what did you guys say was the best,SESU,SESU-P,,,,,,,,,,,,,,,,,,
