,Unnamed: 0,session_id,mellon_id,player_id,event_result,task,Primary code ,event_start_time,revise_score,high_performance,female_members,female_maj,gender,ethnicity,application_status,first_generation,urm,first_language
0,0,7298_PartyVenue,173442,"{'userID1': '202618', 'nickname1': 'bean boi', 'userID2': '164591', 'nickname2': 'candy', 'userID3': '163093', 'nickname3': 'Alice', 'userID4': '173442', 'nickname4': 'Liz'}",what's up lads,PartyVenue,SMC,2019-09-28 17:11:18+00:00,0.0,0,4,1,F,Unknown / declined to state,Sophomore,0.0,0.0,English only
1,1,7298_PartyVenue,202618,"{'userID1': '202618', 'nickname1': 'bean boi', 'userID2': '164591', 'nickname2': 'candy', 'userID3': '163093', 'nickname3': 'Alice', 'userID4': '173442', 'nickname4': 'Liz'}",hello,PartyVenue,SMC,2019-09-28 17:11:26+00:00,0.0,0,4,1,F,Asian / Asian American,Freshman,1.0,0.0,Non-English
2,2,7298_PartyVenue,163093,"{'userID1': '202618', 'nickname1': 'bean boi', 'userID2': '164591', 'nickname2': 'candy', 'userID3': '163093', 'nickname3': 'Alice', 'userID4': '173442', 'nickname4': 'Liz'}",hi its too early for this,PartyVenue,SMC,2019-09-28 17:11:29+00:00,0.0,0,4,1,F,Asian / Asian American,Freshman,1.0,0.0,English/non-English
3,3,7298_PartyVenue,173442,"{'userID1': '202618', 'nickname1': 'bean boi', 'userID2': '164591', 'nickname2': 'candy', 'userID3': '163093', 'nickname3': 'Alice', 'userID4': '173442', 'nickname4': 'Liz'}",bean boi i like ur name,PartyVenue,SMC,2019-09-28 17:11:32+00:00,0.0,0,4,1,F,Unknown / declined to state,Sophomore,0.0,0.0,English only
4,4,7298_PartyVenue,202618,"{'userID1': '202618', 'nickname1': 'bean boi', 'userID2': '164591', 'nickname2': 'candy', 'userID3': '163093', 'nickname3': 'Alice', 'userID4': '173442', 'nickname4': 'Liz'}",thanks,PartyVenue,SMC,2019-09-28 17:11:35+00:00,0.0,0,4,1,F,Asian / Asian American,Freshman,1.0,0.0,Non-English
5,5,7298_PartyVenue,173442,"{'userID1': '202618', 'nickname1': 'bean boi', 'userID2': '164591', 'nickname2': 'candy', 'userID3': '163093', 'nickname3': 'Alice', 'userID4': '173442', 'nickname4': 'Liz'}",also mood alice lol,PartyVenue,SMC,2019-09-28 17:11:39+00:00,0.0,0,4,1,F,Unknown / declined to state,Sophomore,0.0,0.0,English only
6,6,7298_PartyVenue,173442,"{'userID1': '202618', 'nickname1': 'bean boi', 'userID2': '164591', 'nickname2': 'candy', 'userID3': '163093', 'nickname3': 'Alice', 'userID4': '173442', 'nickname4': 'Liz'}",question when u guys were signing up on the survey do you remember reading something about getting paid,PartyVenue,SMC,2019-09-28 17:12:03+00:00,0.0,0,4,1,F,Unknown / declined to state,Sophomore,0.0,0.0,English only
7,7,7298_PartyVenue,202618,"{'userID1': '202618', 'nickname1': 'bean boi', 'userID2': '164591', 'nickname2': 'candy', 'userID3': '163093', 'nickname3': 'Alice', 'userID4': '173442', 'nickname4': 'Liz'}",what are bday party venues lmao,PartyVenue,SSI,2019-09-28 17:12:09+00:00,0.0,0,4,1,F,Asian / Asian American,Freshman,1.0,0.0,Non-English
8,8,7298_PartyVenue,164591,"{'userID1': '202618', 'nickname1': 'bean boi', 'userID2': '164591', 'nickname2': 'candy', 'userID3': '163093', 'nickname3': 'Alice', 'userID4': '173442', 'nickname4': 'Liz'}",hey!,PartyVenue,SMC,2019-09-28 17:12:11+00:00,0.0,0,4,1,F,Hispanic,Freshman,1.0,1.0,Non-English
9,9,7298_PartyVenue,163093,"{'userID1': '202618', 'nickname1': 'bean boi', 'userID2': '164591', 'nickname2': 'candy', 'userID3': '163093', 'nickname3': 'Alice', 'userID4': '173442', 'nickname4': 'Liz'}",yea i think its like $50 right,PartyVenue,SMC,2019-09-28 17:12:13+00:00,0.0,0,4,1,F,Asian / Asian American,Freshman,1.0,0.0,English/non-English
